L,N,Tc_estimada,Tc_teorica,error_relativo,error_porcentaje,chi_max
2,4,1.45978537,2.26918531,0.35669187,35.6692,2.66181167
4,16,1.93716178,2.26918531,0.14631839,14.6318,7.01360290
6,36,2.28147583,2.26918531,0.00541627,0.5416,9.38335132
8,64,2.20910736,2.26918531,0.02647556,2.6476,20.17083756
10,100,2.55118659,2.26918531,0.12427424,12.4274,12.73571830
12,144,2.41553565,2.26918531,0.06449466,6.4495,16.10547788
14,196,2.41591336,2.26918531,0.06466111,6.4661,32.56542924
16,256,2.59699223,2.26918531,0.14446018,14.4460,15.75561019
18,324,2.39393578,2.26918531,0.05497588,5.4976,31.71784274
20,400,2.60227112,2.26918531,0.14678652,14.6787,20.64908550
22,484,2.48859068,2.26918531,0.09668905,9.6689,18.52855041
24,576,2.36927998,2.26918531,0.04411040,4.4110,42.58948104
26,676,2.41859708,2.26918531,0.06584379,6.5844,30.68329380
28,784,2.45643018,2.26918531,0.08251634,8.2516,31.51748459
30,900,2.27382248,2.26918531,0.00204354,0.2044,87.76412527
